source,target,relation,source_type,target_type
Integrated pest management (IPM),Nitrous Oxide (N2O),INCREASES,Practice,Emission
Sea level rise,Soil erosion,WORSENS,Climate Effect,Outcome
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Rising temperatures,Sorghum,REDUCES,Climate Effect,Crop
Rising temperatures,Grapes,REDUCES,Climate Effect,Crop
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Rising temperatures,Pest outbreaks,INCREASES,Climate Effect,Outcome
Terracing,Soil erosion,REDUCES,Practice,Outcome
Coffee,Glacial meltwater,REQUIRES,Crop,Resource
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Increased flooding,Clay soil,AFFECTS,Climate Effect,Soil
Rising temperatures,Food security,THREATENS,Climate Effect,Outcome
Heatwaves,Crop yield,DECREASES,Climate Effect,Outcome
Greenhouse Gases (GHG),Sea level rise,CAUSES,Emission,Climate Effect
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Rising temperatures,Coffee,REDUCES,Climate Effect,Crop
Rising temperatures,Apples,REDUCES,Climate Effect,Crop
Drought,Crop yield,DECREASES,Climate Effect,Outcome
Altered precipitation patterns,Soil erosion,WORSENS,Climate Effect,Outcome
Carbon Dioxide (CO2),Sea level rise,CAUSES,Emission,Climate Effect
No-tillage farming,Greenhouse Gases (GHG),REDUCES,Practice,Emission
Precision agriculture,Sustainable intensification,IMPROVES,Practice,Climate Mitigation
Contour plowing,Crop yield,AFFECTS,Practice,Outcome
Precision agriculture,Soil health,IMPROVES,Practice,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Rising temperatures,Sorghum,REDUCES,Climate Effect,Crop
Drip irrigation,Soil erosion,REDUCES,Practice,Outcome
CO2 Levels,Ocean acidification,CAUSES,Specific Entity,Climate Effect
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Rising temperatures,Potatoes,REDUCES,Climate Effect,Crop
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Drip irrigation,Glacial meltwater,CONSERVES,Practice,Resource
Precision agriculture,Biofuel production,IMPROVES,Practice,Climate Mitigation
Cover cropping,Soil erosion,REDUCES,Practice,Outcome
Terracing,Methane (CH4),REDUCES,Practice,Emission
Flood irrigation,Crop yield,AFFECTS,Practice,Outcome
Ocean acidification,Sorghum,REDUCES,Climate Effect,Crop
Increased flooding,Water scarcity,INCREASES,Climate Effect,Outcome
Greenhouse Gases (GHG),Soil salinization,CAUSES,Emission,Climate Effect
Heatwaves,Sandy soil,AFFECTS,Climate Effect,Soil
Ocean acidification,Cassava,REDUCES,Climate Effect,Crop
Cover cropping,Greenhouse Gases (GHG),REDUCES,Practice,Emission
